,Unnamed: 0,Datetime,Home Team Initials,Away Team Initials,Winner,Home Rank,Away Rank,Host Country,Is Home Host?,Is Away Host?,Rank Change Away,Rank Change Home,Home UEFA,Home CONMEBOL,Home CAF,Home AFC,Home CONCACAF,Home OFC,Away UEFA,Away CONMEBOL,Away CAF,Away AFC,Away CONCACAF,Away OFC
86,86,1998-06-23,SCO,MAR,Away,41,13,FRA,0,0,-3,3,1,0,0,0,0,0,0,0,1,0,0,0
87,87,1998-06-23,BRA,NOR,Away,1,7,FRA,0,0,5,0,0,1,0,0,0,0,1,0,0,0,0,0
88,88,1998-06-24,FRA,DEN,Home,18,27,FRA,1,0,-7,7,1,0,0,0,0,0,1,0,0,0,0,0
89,89,1998-06-24,RSA,KSA,tie,24,34,FRA,0,0,4,-3,0,0,1,0,0,0,0,0,0,1,0,0
90,90,1998-06-24,ESP,BUL,Home,15,35,FRA,0,0,7,-6,1,0,0,0,0,0,1,0,0,0,0,0
91,91,1998-06-24,NGA,PAR,Away,74,29,FRA,0,0,0,-5,0,0,1,0,0,0,0,1,0,0,0,0
92,92,1998-06-25,BEL,KOR,tie,36,20,FRA,0,0,4,-4,1,0,0,0,0,0,0,0,0,1,0,0
93,93,1998-06-25,NED,MEX,tie,25,4,FRA,0,0,0,-11,1,0,0,0,0,0,0,0,0,0,1,0
94,94,1998-06-25,GER,IRN,Home,2,42,FRA,0,0,4,0,1,0,0,0,0,0,0,0,0,1,0,0
95,95,1998-06-25,USA,YUG,Away,11,8,FRA,0,0,0,4,0,0,0,0,1,0,1,0,0,0,0,0
96,96,1998-06-26,JPN,JAM,Away,12,30,FRA,0,0,1,-1,0,0,0,1,0,0,0,0,0,0,1,0
97,97,1998-06-26,ARG,CRO,Home,6,19,FRA,0,0,4,1,0,1,0,0,0,0,1,0,0,0,0,0
98,98,1998-06-26,ROU,TUN,tie,22,21,FRA,0,0,5,0,1,0,0,0,0,0,0,0,1,0,0,0
99,99,1998-06-26,COL,ENG,Away,10,5,FRA,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0
100,100,1998-06-27,ITA,NOR,Home,14,7,FRA,0,0,5,2,1,0,0,0,0,0,1,0,0,0,0,0
101,101,1998-06-27,BRA,CHI,Home,1,9,FRA,0,0,-3,0,0,1,0,0,0,0,0,1,0,0,0,0
102,102,1998-06-28,FRA,PAR,Home,18,29,FRA,1,0,0,7,1,0,0,0,0,0,0,1,0,0,0,0
103,103,1998-06-28,NGA,DEN,Away,74,27,FRA,0,0,-7,-5,0,0,1,0,0,0,1,0,0,0,0,0
104,104,1998-06-29,GER,MEX,Home,2,4,FRA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
105,105,1998-06-29,NED,YUG,Home,25,8,FRA,0,0,0,-11,1,0,0,0,0,0,1,0,0,0,0,0
106,106,1998-06-30,ROU,CRO,Away,22,19,FRA,0,0,4,0,1,0,0,0,0,0,1,0,0,0,0,0
107,107,1998-06-30,ARG,ENG,tie,6,5,FRA,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
108,108,1998-07-03,ITA,FRA,tie,14,18,FRA,0,1,7,2,1,0,0,0,0,0,1,0,0,0,0,0
109,109,1998-07-03,BRA,DEN,Home,1,27,FRA,0,0,-7,0,0,1,0,0,0,0,1,0,0,0,0,0
110,110,1998-07-04,NED,ARG,Home,25,6,FRA,0,0,1,-11,1,0,0,0,0,0,0,1,0,0,0,0
111,111,1998-07-04,GER,CRO,Away,2,19,FRA,0,0,4,0,1,0,0,0,0,0,1,0,0,0,0,0
112,112,1998-07-07,BRA,NED,tie,1,25,FRA,0,0,-11,0,0,1,0,0,0,0,1,0,0,0,0,0
113,113,1998-07-08,FRA,CRO,Home,18,19,FRA,1,0,4,7,1,0,0,0,0,0,1,0,0,0,0,0
114,114,1998-07-11,NED,CRO,Away,25,19,FRA,0,0,4,-11,1,0,0,0,0,0,1,0,0,0,0,0
115,115,1998-07-12,BRA,FRA,Away,1,18,FRA,0,1,7,0,0,1,0,0,0,0,1,0,0,0,0,0
116,116,2002-05-31,FRA,SEN,Away,1,42,JPN KOR,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
117,117,2002-06-01,URU,DEN,Away,24,20,JPN KOR,0,0,0,-3,0,1,0,0,0,0,1,0,0,0,0,0
118,118,2002-06-01,IRL,CMR,tie,15,17,JPN KOR,0,0,1,4,1,0,0,0,0,0,0,0,1,0,0,0
119,119,2002-06-01,GER,KSA,Home,11,34,JPN KOR,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
120,120,2002-06-02,ARG,NGA,Home,3,27,JPN KOR,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0
121,121,2002-06-02,PAR,RSA,tie,18,37,JPN KOR,0,0,0,-3,0,1,0,0,0,0,0,0,1,0,0,0
122,122,2002-06-02,ENG,SWE,tie,12,19,JPN KOR,0,0,-2,-1,1,0,0,0,0,0,1,0,0,0,0,0
123,123,2002-06-02,ESP,SVN,Home,8,25,JPN KOR,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0
